Match_ID,Date,Teams,Team1,Team2,Toss_Winner,Toss_Decision,team1_form_winrate_5,team2_form_winrate_5,venue_chase_winrate_prior,venue_score_prior,Match_Winner
829729,2015-04-17,Mumbai Indians vs Chennai Super Kings,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,0.6,0.6,0.475,-0.050000000000000044,Chennai Super Kings
829731,2015-04-18,Sunrisers Hyderabad vs Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,bat,0.2,0.2,0.6,0.19999999999999996,Delhi Capitals
829733,2015-04-18,Punjab Kings vs Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,0.4,0.8,0.4,-0.19999999999999996,Kolkata Knight Riders
829737,2015-04-19,Royal Challengers Bengaluru vs Mumbai Indians,Royal Challengers Bengaluru,Mumbai Indians,Royal Challengers Bengaluru,field,0.2,0.4,0.5777777777777777,0.15555555555555545,Mumbai Indians
829735,2015-04-19,Rajasthan Royals vs Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,bat,0.6,0.6,0.36363636363636365,-0.2727272727272727,Rajasthan Royals
829739,2015-04-20,Delhi Capitals vs Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,field,0.0,1.0,0.5454545454545454,0.09090909090909083,Kolkata Knight Riders
829741,2015-04-21,Rajasthan Royals vs Punjab Kings,Rajasthan Royals,Punjab Kings,Punjab Kings,field,0.6,0.8,0.4166666666666667,-0.16666666666666663,Draw/No Result
829743,2015-04-22,Sunrisers Hyderabad vs Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,0.2,1.0,0.5,0.0,Sunrisers Hyderabad
829745,2015-04-22,Royal Challengers Bengaluru vs Chennai Super Kings,Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru,field,0.2,0.6,0.5652173913043478,0.13043478260869557,Chennai Super Kings
829747,2015-04-23,Delhi Capitals vs Mumbai Indians,Delhi Capitals,Mumbai Indians,Mumbai Indians,field,0.0,0.4,0.5555555555555556,0.11111111111111116,Delhi Capitals
829749,2015-04-24,Rajasthan Royals vs Royal Challengers Bengaluru,Rajasthan Royals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,0.6,0.4,0.38461538461538464,-0.23076923076923073,Royal Challengers Bengaluru
829751,2015-04-25,Mumbai Indians vs Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,0.4,0.6,0.4878048780487805,-0.024390243902439046,Mumbai Indians
829753,2015-04-25,Chennai Super Kings vs Punjab Kings,Chennai Super Kings,Punjab Kings,Chennai Super Kings,bat,0.6,0.6,0.37777777777777777,-0.24444444444444446,Chennai Super Kings
829757,2015-04-26,Delhi Capitals vs Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,0.2,0.6,0.5434782608695652,0.08695652173913038,Royal Challengers Bengaluru
